Club,Player,Span,Mat,Substitution ,Mins,Goals,xG,Shots,OnTarget,xG_Per_Avg_Match,Shots_Per_Avg_Match,On_Target_Per_Avg_Match,Goals_per_Match
(SAP),Luciano ,(2016-2020),16,3,1588,11,6.02,37,17,0.38,2.31,1.06,0.69
None,Jonathan Copete,(2016-2020),22,3,2147,10,8.14,37,17,0.37,1.68,0.77,0.45
(STR),Lebo Mothiba,(2016-2020),21,14,2154,10,7.03,36,19,0.33,1.71,0.90,0.48
(CAE),Emiliano Sala,(2016-2020),16,3,1434,12,6.19,36,18,0.39,2.25,1.13,0.75
(SAP),Brenner None,(2016-2020),9,6,1063,6,7.5,36,14,0.83,4.00,1.56,0.67
(AZA),Teun Koopmeiners,(2016-2020),25,0,2336,11,9.34,35,18,0.37,1.40,0.72,0.44
None,Bruno Rangel ,(2016-2020),19,12,2016,10,8.91,35,17,0.47,1.84,0.89,0.53
(VVV),Georgios Giakoumakis,(2016-2020),10,0,911,9,7.19,35,14,0.72,3.50,1.40,0.90
(FEY),Joao Teixeira,(2016-2020),14,7,1416,8,3.58,34,14,0.26,2.43,1.00,0.57
(LAF),Bradley Wright-Phillips,(2016-2020),15,4,1190,8,5.89,33,15,0.39,2.20,1.00,0.53
(POR),Jeremy Ebobisse,(2016-2020),11,8,1189,8,3.63,33,15,0.33,3.00,1.36,0.73
(ORL),Daryl Dike,(2016-2020),17,2,1482,8,3.74,33,13,0.22,1.94,0.76,0.47
(AJA),Klaas-Jan Huntelaar,(2016-2020),6,12,938,9,6.91,32,17,1.15,5.33,2.83,1.50
(RMA),Isco,(2016-2020),18,12,1690,10,3.91,32,15,0.22,1.78,0.83,0.56
(HEE),Henk Veerman,(2016-2020),10,0,916,8,4.44,32,14,0.44,3.20,1.40,0.80
(BOT),Matheus Babi,(2016-2020),17,3,1709,6,5.94,32,14,0.35,1.88,0.82,0.35
Mario,Mandzukic None,(2016-2020),23,2,2125,9,6.49,31,17,0.28,1.35,0.74,0.39
(TWE),Danilo Nome,(2016-2020),10,0,827,9,7.05,31,16,0.71,3.10,1.60,0.90
(ROM),Henrikh Mkhitaryan,(2016-2020),9,0,825,5,5.82,30,14,0.65,3.33,1.56,0.56
(DIJ),Mama Balde,(2016-2020),8,0,669,4,4.01,30,10,0.50,3.75,1.25,0.50
(MON),Wissam Ben,(2016-2020),10,1,879,6,5.74,30,8,0.57,3.00,0.80,0.60
(INT),Lautaro MartInez,(2016-2020),7,2,656,5,2.35,29,11,0.34,4.14,1.57,0.71
(LIL),Burak Yilmaz,(2016-2020),10,1,903,6,4.56,28,17,0.46,2.80,1.70,0.60
(REN),Adrien Hunou,(2016-2020),13,10,1325,8,7.25,28,15,0.56,2.15,1.15,0.62
(VIT),Lois Openda,(2016-2020),10,0,775,5,2.94,28,9,0.29,2.80,0.90,0.50
(LYO),Karl Toko,(2016-2020),9,1,822,5,5.88,27,12,0.65,3.00,1.33,0.56
(PAL),Raphael Veiga,(2016-2020),10,4,914,6,3.37,27,11,0.34,2.70,1.10,0.60
(BSC),Matheus Cunha,(2016-2020),9,0,857,6,3.43,26,15,0.38,2.89,1.67,0.67
(NAC),Brayan Riascos,(2016-2020),8,0,736,3,2.17,26,11,0.27,3.25,1.38,0.38
(NIC),Amine Gouiri,(2016-2020),9,2,903,4,3.33,26,10,0.37,2.89,1.11,0.44
(AVL),Jack Grealish,(2016-2020),9,0,872,5,2.85,26,9,0.32,2.89,1.00,0.56
(REI),Boulaye Dia,(2016-2020),9,1,772,8,5.28,25,12,0.59,2.78,1.33,0.89
(BHA),Neal Maupay,(2016-2020),9,0,786,4,6.54,25,11,0.73,2.78,1.22,0.44
(SPR),Abdou Harroui,(2016-2020),10,0,834,4,1.93,24,13,0.19,2.40,1.30,0.40
(SAN),Thiago Santana,(2016-2020),8,0,714,6,3.31,24,12,0.41,3.00,1.50,0.75
(RBB),Alerrandro ,(2016-2020),10,2,861,5,6.07,24,11,0.61,2.40,1.10,0.50
(AVL),Ollie Watkins,(2016-2020),9,0,872,6,6.43,22,9,0.71,2.44,1.00,0.67
(BET),Cristian Tello,(2016-2020),7,4,629,4,1.92,22,8,0.27,3.14,1.14,0.57
(WHU),Jarrod Bowen,(2016-2020),10,0,845,4,2.94,22,5,0.29,2.20,0.50,0.40
(PAL),Luiz Adriano,(2016-2020),14,3,1235,7,6.24,21,13,0.45,1.50,0.93,0.50
(LIS),Pote ,(2016-2020),7,0,631,9,2.99,21,13,0.43,3.00,1.86,1.29
(TWE),Vaclav Cerny,(2016-2020),10,0,824,4,1.39,21,12,0.14,2.10,1.20,0.40
(MET),Ibrahima Niane,(2016-2020),6,0,482,6,3.45,21,9,0.58,3.50,1.50,1.00
(HER),Rai Vloet,(2016-2020),10,0,853,7,4.49,21,9,0.45,2.10,0.90,0.70
(BRE),Irvin Cardona,(2016-2020),6,5,627,5,2.71,21,8,0.45,3.50,1.33,0.83
(ATL),Joao Felix,(2016-2020),6,3,641,5,3.85,21,6,0.64,3.50,1.00,0.83
(LEV),Lucas Alario,(2016-2020),6,1,561,7,3.07,20,11,0.51,3.33,1.83,1.17
(LIV),Diogo Jota,(2016-2020),5,3,530,5,2.51,20,11,0.50,4.00,2.20,1.00
(SPR),Lennart Thy,(2016-2020),10,0,768,6,4.37,20,11,0.44,2.00,1.10,0.60
(AJA),Antony None,(2016-2020),8,1,575,4,1.63,20,8,0.20,2.50,1.00,0.50
